province,area_type,total,male,female,female_share,male_share
Balochistan,All Areas,1352.8999999999999,1408.8000000000004,926.7,0.684973020918028,1.041318648828443
Balochistan,Rural,2738374.1,2301817.1000000006,441248.5000000002,0.1611352152359315,0.840578027669777
Balochistan,Urban,920097.4999999999,868905.1000000007,55509.50000000001,0.0603300193729469,0.9443619833767626
KPK,All Areas,1414.1999999999996,1579.1000000000006,899.8000000000001,0.6362607834818275,1.116603026446048
KPK,Rural,8750702.400000004,6884758.099999999,1869936.4000000008,0.213689863341713,0.7867663400368862
KPK,Urban,1577223.3000000003,1389331.3,191047.70000000007,0.12112913878459698,0.8808716559031304
Punjab,All Areas,1452.8000000000002,1671.6,926.1000000000003,0.6374587004405288,1.1506057268722465
Punjab,Rural,28624657.900000006,19018292.90000001,9611833.399999999,0.3357885859659478,0.6644024521250262
Punjab,Urban,13291159.099999998,11251557.000000004,2045168.5000000012,0.1538743524633605,0.8465444522441994
Sindh,All Areas,1358.6,1445.5000000000005,1057.5000000000002,0.7783747975857502,1.0639629029883708
Sindh,Rural,8434094.2,6412454.0,2025725.9000000001,0.24018298254245254,0.7603014441076554
Sindh,Urban,7497188.999999999,6864965.199999997,636594.3999999999,0.08491107800536975,0.9156718871566394
